"Vuosineljännes";"Postinumero";"Huoneluku";"Lukumäärä";"Neliövuokra (eur/m2)"
"2018Q4";"41160 Tikkakoski   (Jyväskylä )";"Kaksiot";27;10.88
"2018Q4";"41160 Tikkakoski   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"41340 Laukaa Keskus   (Laukaa )";"Yksiöt";20;12.66
"2018Q4";"41340 Laukaa Keskus   (Laukaa )";"Kaksiot";.;.
"2018Q4";"41340 Laukaa Keskus   (Laukaa )";"Kolmiot+";.;.
"2018Q4";"41800 Korpilahti Keskus   (Jyväskylä )";"Yksiöt";.;.
"2018Q4";"41800 Korpilahti Keskus   (Jyväskylä )";"Kaksiot";.;.
"2018Q4";"41800 Korpilahti Keskus   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"42100 Jämsä Keskus   (Jämsä )";"Yksiöt";79;11.76
"2018Q4";"42100 Jämsä Keskus   (Jämsä )";"Kaksiot";59;9.09
"2018Q4";"42100 Jämsä Keskus   (Jämsä )";"Kolmiot+";28;8.81
"2018Q4";"42300 Jämsänkoski Keskus   (Jämsä )";"Yksiöt";24;11.03
"2018Q4";"42300 Jämsänkoski Keskus   (Jämsä )";"Kaksiot";31;8.54
"2018Q4";"42300 Jämsänkoski Keskus   (Jämsä )";"Kolmiot+";.;.
"2018Q4";"42700 Keuruu Keskus   (Keuruu )";"Yksiöt";61;11.57
"2018Q4";"42700 Keuruu Keskus   (Keuruu )";"Kaksiot";68;9.66
"2018Q4";"42700 Keuruu Keskus   (Keuruu )";"Kolmiot+";.;.
"2018Q4";"43100 Saarijärvi Keskus   (Saarijärvi )";"Yksiöt";.;.
"2018Q4";"43100 Saarijärvi Keskus   (Saarijärvi )";"Kaksiot";.;.
"2018Q4";"43100 Saarijärvi Keskus   (Saarijärvi )";"Kolmiot+";.;.
"2018Q4";"43500 Karstula Keskus   (Karstula )";"Yksiöt";.;.
"2018Q4";"43500 Karstula Keskus   (Karstula )";"Kaksiot";.;.
"2018Q4";"43500 Karstula Keskus   (Karstula )";"Kolmiot+";.;.
"2018Q4";"44100 Äänekoski Keskus   (Äänekoski )";"Yksiöt";47;12.35
"2018Q4";"44100 Äänekoski Keskus   (Äänekoski )";"Kaksiot";64;10.31
"2018Q4";"44100 Äänekoski Keskus   (Äänekoski )";"Kolmiot+";.;.
"2018Q4";"44150 Likolahti-Karhunlähde   (Äänekoski )";"Yksiöt";.;.
"2018Q4";"44150 Likolahti-Karhunlähde   (Äänekoski )";"Kaksiot";.;.
"2018Q4";"44150 Likolahti-Karhunlähde   (Äänekoski )";"Kolmiot+";.;.
"2018Q4";"44200 Suolahti Keskus   (Äänekoski )";"Yksiöt";25;10.67
"2018Q4";"44200 Suolahti Keskus   (Äänekoski )";"Kaksiot";23;9.05
"2018Q4";"44200 Suolahti Keskus   (Äänekoski )";"Kolmiot+";.;.
"2018Q4";"44500 Viitasaari Keskus   (Viitasaari )";"Yksiöt";26;10.73
"2018Q4";"44500 Viitasaari Keskus   (Viitasaari )";"Kaksiot";.;.
"2018Q4";"44500 Viitasaari Keskus   (Viitasaari )";"Kolmiot+";.;.
"2018Q4";"44800 Pihtipudas Keskus   (Pihtipudas )";"Yksiöt";.;.
"2018Q4";"44800 Pihtipudas Keskus   (Pihtipudas )";"Kaksiot";.;.
"2018Q4";"44800 Pihtipudas Keskus   (Pihtipudas )";"Kolmiot+";.;.
"2018Q4";"45100 Kouvola Keskus   (Kouvola )";"Yksiöt";148;13.77
"2018Q4";"45100 Kouvola Keskus   (Kouvola )";"Kaksiot";148;11.29
"2018Q4";"45100 Kouvola Keskus   (Kouvola )";"Kolmiot+";27;10.00
"2018Q4";"45130 Korjala-Kaunisnurmi   (Kouvola )";"Yksiöt";101;14.05
"2018Q4";"45130 Korjala-Kaunisnurmi   (Kouvola )";"Kaksiot";47;11.14
"2018Q4";"45130 Korjala-Kaunisnurmi   (Kouvola )";"Kolmiot+";.;.
"2018Q4";"45150 Kankaronmäki-Eskolanmäki   (Kouvola )";"Yksiöt";68;11.69
"2018Q4";"45150 Kankaronmäki-Eskolanmäki   (Kouvola )";"Kaksiot";72;9.16
"2018Q4";"45150 Kankaronmäki-Eskolanmäki   (Kouvola )";"Kolmiot+";25;9.17
"2018Q4";"45160 Lehtomäki   (Kouvola )";"Yksiöt";36;12.06
"2018Q4";"45160 Lehtomäki   (Kouvola )";"Kaksiot";45;9.90
"2018Q4";"45160 Lehtomäki   (Kouvola )";"Kolmiot+";27;9.68
"2018Q4";"45200 Tornionmäki   (Kouvola )";"Yksiöt";123;12.82
"2018Q4";"45200 Tornionmäki   (Kouvola )";"Kaksiot";99;10.43
"2018Q4";"45200 Tornionmäki   (Kouvola )";"Kolmiot+";30;9.84
"2018Q4";"45360 Kukkuramäki   (Kouvola )";"Yksiöt";.;.
"2018Q4";"45360 Kukkuramäki   (Kouvola )";"Kaksiot";.;.
"2018Q4";"45360 Kukkuramäki   (Kouvola )";"Kolmiot+";.;.
"2018Q4";"45610 Koria   (Kouvola )";"Yksiöt";.;.
"2018Q4";"45610 Koria   (Kouvola )";"Kaksiot";.;.
"2018Q4";"45610 Koria   (Kouvola )";"Kolmiot+";.;.
"2018Q4";"45700 Kuusankoski Keskus   (Kouvola )";"Yksiöt";136;12.28
"2018Q4";"45700 Kuusankoski Keskus   (Kouvola )";"Kaksiot";119;10.07
"2018Q4";"45700 Kuusankoski Keskus   (Kouvola )";"Kolmiot+";33;9.11
"2018Q4";"45910 Voikkaa   (Kouvola )";"Yksiöt";.;.
"2018Q4";"45910 Voikkaa   (Kouvola )";"Kaksiot";.;.
"2018Q4";"45910 Voikkaa   (Kouvola )";"Kolmiot+";.;.
"2018Q4";"46800 Myllykoski   (Kouvola )";"Yksiöt";24;11.80
"2018Q4";"46800 Myllykoski   (Kouvola )";"Kaksiot";34;9.30
"2018Q4";"46800 Myllykoski   (Kouvola )";"Kolmiot+";.;.
"2018Q4";"46900 Inkeroinen   (Kouvola )";"Yksiöt";.;.
"2018Q4";"46900 Inkeroinen   (Kouvola )";"Kaksiot";.;.
"2018Q4";"46900 Inkeroinen   (Kouvola )";"Kolmiot+";.;.
"2018Q4";"47400 Kausala   (Iitti )";"Yksiöt";.;.
"2018Q4";"47400 Kausala   (Iitti )";"Kaksiot";.;.
"2018Q4";"47400 Kausala   (Iitti )";"Kolmiot+";.;.
"2018Q4";"48100 Kotkansaari   (Kotka )";"Yksiöt";303;15.29
"2018Q4";"48100 Kotkansaari   (Kotka )";"Kaksiot";210;11.90
"2018Q4";"48100 Kotkansaari   (Kotka )";"Kolmiot+";31;10.71
"2018Q4";"48200 Hovinsaari   (Kotka )";"Yksiöt";50;12.78
"2018Q4";"48200 Hovinsaari   (Kotka )";"Kaksiot";27;10.99
"2018Q4";"48200 Hovinsaari   (Kotka )";"Kolmiot+";.;.
"2018Q4";"48230 Korela-Jylppy   (Kotka )";"Yksiöt";.;.
"2018Q4";"48230 Korela-Jylppy   (Kotka )";"Kaksiot";.;.
"2018Q4";"48230 Korela-Jylppy   (Kotka )";"Kolmiot+";.;.
"2018Q4";"48350 Karhuvuori   (Kotka )";"Yksiöt";100;12.02
"2018Q4";"48350 Karhuvuori   (Kotka )";"Kaksiot";82;9.22
"2018Q4";"48350 Karhuvuori   (Kotka )";"Kolmiot+";48;9.01
"2018Q4";"48400 Sutela   (Kotka )";"Yksiöt";.;.
"2018Q4";"48400 Sutela   (Kotka )";"Kaksiot";.;.
"2018Q4";"48400 Sutela   (Kotka )";"Kolmiot+";.;.
"2018Q4";"48600 Karhula   (Kotka )";"Yksiöt";96;12.87
"2018Q4";"48600 Karhula   (Kotka )";"Kaksiot";67;10.36
"2018Q4";"48600 Karhula   (Kotka )";"Kolmiot+";.;.
"2018Q4";"48700 Kyminlinna   (Kotka )";"Yksiöt";20;12.14
"2018Q4";"48700 Kyminlinna   (Kotka )";"Kaksiot";.;.
"2018Q4";"48700 Kyminlinna   (Kotka )";"Kolmiot+";.;.
"2018Q4";"48900 Sunila   (Kotka )";"Yksiöt";.;.
"2018Q4";"48900 Sunila   (Kotka )";"Kaksiot";.;.
"2018Q4";"48900 Sunila   (Kotka )";"Kolmiot+";.;.
"2018Q4";"49400 Hamina Keskus   (Hamina )";"Yksiöt";63;12.79
"2018Q4";"49400 Hamina Keskus   (Hamina )";"Kaksiot";59;10.92
"2018Q4";"49400 Hamina Keskus   (Hamina )";"Kolmiot+";27;9.45
"2018Q4";"49460 Hillo   (Hamina )";"Yksiöt";.;.
"2018Q4";"49460 Hillo   (Hamina )";"Kaksiot";.;.
"2018Q4";"49460 Hillo   (Hamina )";"Kolmiot+";.;.
"2018Q4";"50100 Mikkeli Keskus   (Mikkeli )";"Yksiöt";320;16.41
"2018Q4";"50100 Mikkeli Keskus   (Mikkeli )";"Kaksiot";159;12.57
"2018Q4";"50100 Mikkeli Keskus   (Mikkeli )";"Kolmiot+";40;11.24
"2018Q4";"50120 Siekkilä   (Mikkeli )";"Yksiöt";45;16.68
"2018Q4";"50120 Siekkilä   (Mikkeli )";"Kaksiot";40;11.50
"2018Q4";"50120 Siekkilä   (Mikkeli )";"Kolmiot+";.;.
